iter	Passed	Remaining
0	133	133473
1	137	68751
2	142	47191
3	145	36285
4	150	29919
5	154	25672
6	158	22538
7	163	20265
8	167	18468
9	171	16964
10	174	15732
11	179	14816
12	184	13979
13	188	13304
14	192	12618
15	196	12064
16	199	11535
17	202	11071
18	206	10668
19	210	10322
20	214	9996
21	218	9698
22	221	9418
23	225	9165
24	229	8949
25	233	8733
26	236	8522
27	239	8331
28	243	8138
29	246	7976
30	250	7819
31	253	7663
32	256	7526
33	260	7398
34	262	7243
35	265	7122
36	269	7007
37	272	6910
38	276	6810
39	278	6693
40	282	6599
41	285	6508
42	289	6433
43	292	6354
44	295	6275
45	298	6196
46	301	6119
47	305	6054
48	309	6001
49	312	5936
50	316	5880
51	319	5828
52	322	5760
53	325	5705
54	329	5655
55	332	5605
56	335	5549
57	338	5499
58	342	5455
59	345	5411
60	348	5370
61	352	5331
62	355	5293
63	359	5250
64	362	5211
65	366	5181
66	369	5147
67	372	5110
68	376	5076
69	379	5044
70	383	5020
71	387	4989
72	390	4960
73	394	4933
74	397	4905
75	401	4880
76	405	4855
77	408	4824
78	411	4799
79	415	4778
80	419	4754
81	422	4727
82	425	4699
83	428	4676
84	431	4648
85	435	4624
86	438	4605
87	442	4583
88	445	4562
89	449	4541
90	452	4521
91	456	4501
92	459	4481
93	463	4464
94	466	4447
95	470	4429
96	473	4409
97	477	4391
98	480	4372
99	483	4354
100	487	4339
101	490	4320
102	494	4303
103	497	4285
104	500	4266
105	503	4247
106	506	4231
107	510	4215
108	513	4200
109	517	4185
110	520	4169
111	524	4154
112	527	4141
113	531	4127
114	534	4112
115	537	4096
116	541	4083
117	544	4071
118	548	4059
119	551	4044
120	554	4031
121	558	4017
122	561	4006
123	565	3992
124	568	3980
125	571	3965
126	574	3952
127	577	3936
128	581	3925
129	584	3913
130	588	3904
131	592	3897
132	596	3887
133	599	3877
134	603	3864
135	606	3852
136	610	3844
137	614	3835
138	617	3826
139	621	3815
140	624	3806
141	628	3795
142	631	3784
143	633	3767
144	637	3758
145	641	3749
146	644	3742
147	647	3728
148	651	3719
149	654	3711
150	658	3703
151	661	3692
152	665	3682
153	668	3674
154	672	3668
155	674	3647
156	677	3637
157	681	3631
158	685	3623
159	688	3614
160	691	3604
161	694	3594
162	697	3584
163	701	3576
164	705	3568
165	708	3559
166	712	3551
167	715	3543
168	718	3535
169	722	3525
170	725	3516
171	728	3507
172	732	3500
173	735	3491
174	738	3482
175	741	3473
176	745	3464
177	748	3457
178	752	3450
179	756	3446
180	759	3437
181	763	3431
182	767	3426
183	770	3418
184	773	3409
185	777	3404
186	781	3398
187	785	3391
188	789	3386
189	792	3379
190	796	3372
191	800	3367
192	803	3360
193	807	3353
194	811	3348
195	814	3341
196	817	3334
197	821	3327
198	824	3320
199	828	3313
200	831	3306
201	834	3298
202	838	3291
203	841	3283
204	845	3277
205	848	3270
206	852	3264
207	855	3258
208	859	3253
209	863	3247
210	866	3241
211	870	3235
212	874	3230
213	877	3222
214	880	3215
215	884	3210
216	888	3205
217	891	3198
218	894	3191
219	896	3179
220	899	3172
221	902	3163
222	905	3154
223	908	3147
224	911	3138
225	913	3130
226	917	3125
227	921	3120
228	924	3114
229	928	3107
230	931	3100
231	934	3094
232	938	3089
233	941	3083
234	945	3076
235	946	3065
236	950	3060
237	953	3053
238	957	3048
239	960	3041
240	963	3034
241	966	3028
242	970	3024
243	975	3020
244	978	3015
245	982	3012
246	988	3014
247	993	3012
248	997	3008
249	1001	3003
250	1003	2995
251	1006	2988
252	1010	2982
253	1013	2976
254	1016	2970
255	1019	2963
256	1023	2957
257	1026	2952
258	1029	2946
259	1032	2939
260	1036	2933
261	1037	2923
262	1041	2918
263	1044	2913
264	1047	2904
265	1049	2895
266	1051	2886
267	1054	2880
268	1057	2874
269	1061	2868
270	1063	2861
271	1067	2856
272	1070	2850
273	1074	2845
274	1077	2841
275	1080	2834
276	1084	2829
277	1087	2824
278	1090	2818
279	1093	2812
280	1097	2808
281	1101	2803
282	1111	2815
283	1114	2810
284	1117	2804
285	1121	2798
286	1125	2795
287	1129	2791
288	1132	2786
289	1136	2782
290	1140	2778
291	1143	2773
292	1146	2767
293	1149	2761
294	1153	2757
295	1157	2752
296	1160	2748
297	1164	2744
298	1168	2740
299	1172	2736
300	1175	2730
301	1179	2726
302	1183	2722
303	1187	2719
304	1191	2714
305	1195	2710
306	1198	2705
307	1202	2701
308	1206	2697
309	1209	2692
310	1212	2686
311	1216	2682
312	1220	2678
313	1223	2672
314	1226	2667
315	1230	2663
316	1233	2658
317	1237	2653
318	1240	2648
319	1244	2644
320	1247	2638
321	1251	2634
322	1254	2629
323	1257	2624
324	1261	2619
325	1264	2614
326	1266	2607
327	1270	2602
328	1273	2596
329	1276	2591
330	1280	2588
331	1284	2583
332	1287	2579
333	1291	2574
334	1294	2570
335	1298	2565
336	1301	2560
337	1305	2556
338	1309	2552
339	1312	2548
340	1316	2543
341	1319	2538
342	1322	2533
343	1326	2529
344	1329	2524
345	1333	2519
346	1336	2514
347	1339	2509
348	1343	2505
349	1347	2501
350	1350	2497
351	1353	2491
352	1357	2487
353	1360	2483
354	1364	2479
355	1367	2474
356	1371	2469
357	1374	2465
358	1377	2460
359	1381	2455
360	1385	2451
361	1389	2448
362	1392	2443
363	1395	2438
364	1398	2432
365	1401	2427
366	1405	2423
367	1408	2419
368	1412	2415
369	1415	2410
370	1419	2406
371	1422	2401
372	1425	2396
373	1429	2392
374	1432	2388
375	1436	2384
376	1440	2380
377	1443	2375
378	1447	2370
379	1450	2367
380	1454	2362
381	1457	2357
382	1460	2352
383	1464	2348
384	1467	2343
385	1470	2338
386	1473	2334
387	1477	2330
388	1480	2325
389	1484	2321
390	1488	2317
391	1492	2314
392	1495	2310
393	1499	2306
394	1502	2301
395	1506	2297
396	1509	2293
397	1513	2288
398	1516	2284
399	1520	2280
400	1523	2275
401	1526	2271
402	1529	2266
403	1533	2262
404	1536	2257
405	1539	2252
406	1542	2248
407	1546	2243
408	1549	2239
409	1553	2235
410	1556	2230
411	1560	2226
412	1564	2223
413	1567	2219
414	1571	2215
415	1575	2211
416	1579	2207
417	1582	2203
418	1586	2200
419	1590	2196
420	1593	2192
421	1597	2187
422	1600	2183
423	1603	2178
424	1606	2174
425	1610	2170
426	1614	2165
427	1617	2161
428	1621	2157
429	1624	2153
430	1627	2149
431	1631	2144
432	1634	2140
433	1638	2136
434	1642	2132
435	1645	2128
436	1648	2123
437	1651	2119
438	1655	2115
439	1658	2111
440	1662	2107
441	1665	2102
442	1668	2098
443	1672	2094
444	1676	2090
445	1679	2086
446	1682	2081
447	1685	2077
448	1688	2072
449	1692	2068
450	1695	2064
451	1699	2060
452	1703	2056
453	1706	2052
454	1709	2048
455	1713	2043
456	1716	2039
457	1720	2036
458	1724	2032
459	1727	2028
460	1731	2024
461	1735	2020
462	1739	2016
463	1742	2013
464	1745	2008
465	1749	2004
466	1752	1999
467	1755	1995
468	1758	1991
469	1762	1987
470	1765	1983
471	1769	1979
472	1773	1976
473	1776	1971
474	1780	1967
475	1783	1963
476	1787	1960
477	1791	1956
478	1795	1952
479	1798	1948
480	1802	1944
481	1805	1939
482	1808	1935
483	1811	1931
484	1815	1927
485	1818	1923
486	1822	1919
487	1825	1915
488	1829	1911
489	1833	1908
490	1837	1904
491	1841	1900
492	1844	1896
493	1846	1891
494	1850	1887
495	1853	1883
496	1856	1878
497	1859	1874
498	1862	1870
499	1866	1866
500	1870	1862
501	1873	1858
502	1877	1854
503	1880	1850
504	1884	1847
505	1887	1842
506	1890	1838
507	1894	1835
508	1898	1831
509	1901	1826
510	1905	1823
511	1908	1818
512	1911	1814
513	1915	1811
514	1918	1807
515	1922	1803
516	1925	1799
517	1929	1794
518	1932	1791
519	1936	1787
520	1939	1783
521	1943	1779
522	1946	1775
523	1949	1771
524	1953	1767
525	1957	1763
526	1961	1760
527	1964	1756
528	1968	1752
529	1972	1749
530	1975	1744
531	1979	1741
532	1982	1737
533	1986	1733
534	1989	1729
535	1992	1724
536	1996	1721
537	1999	1717
538	2003	1713
539	2006	1709
540	2010	1705
541	2013	1701
542	2017	1697
543	2020	1693
544	2024	1689
545	2027	1685
546	2031	1682
547	2034	1677
548	2037	1673
549	2040	1669
550	2043	1665
551	2046	1660
552	2049	1656
553	2052	1652
554	2056	1648
555	2059	1644
556	2063	1640
557	2066	1637
558	2070	1633
559	2073	1629
560	2076	1625
561	2080	1621
562	2084	1617
563	2088	1614
564	2091	1610
565	2094	1606
566	2098	1602
567	2101	1598
568	2105	1594
569	2108	1590
570	2111	1586
571	2115	1582
572	2118	1579
573	2122	1575
574	2126	1571
575	2129	1567
576	2133	1564
577	2137	1560
578	2140	1556
579	2143	1552
580	2146	1547
581	2148	1542
582	2151	1539
583	2154	1534
584	2158	1530
585	2161	1527
586	2164	1523
587	2168	1519
588	2170	1514
589	2173	1510
590	2176	1506
591	2180	1502
592	2184	1499
593	2187	1495
594	2191	1491
595	2195	1487
596	2198	1484
597	2202	1480
598	2205	1476
599	2208	1472
600	2211	1468
601	2215	1464
602	2218	1460
603	2221	1456
604	2225	1453
605	2229	1449
606	2233	1446
607	2237	1442
608	2240	1438
609	2243	1434
610	2247	1430
611	2250	1427
612	2254	1423
613	2258	1419
614	2260	1415
615	2264	1411
616	2268	1408
617	2272	1404
618	2275	1400
619	2278	1396
620	2281	1392
621	2284	1388
622	2287	1384
623	2291	1380
624	2295	1377
625	2298	1373
626	2301	1369
627	2304	1365
628	2308	1361
629	2311	1357
630	2315	1353
631	2319	1350
632	2322	1346
633	2325	1342
634	2329	1338
635	2332	1335
636	2336	1331
